aye nay absent
1 1 98
2 2 96
3 3 94
4 4 92
0 10 90
5 5 90
10 1 89
1 11 88
6 6 88
11 1 88
12 1 87
2 12 86
7 7 86
13 1 86
14 1 85
3 13 84
8 8 84
15 1 84
16 1 83
4 14 82
9 9 82
17 1 82
18 1 81
0 20 80
5 15 80
19 1 80
1 21 78
6 16 78
11 11 78
20 2 78
21 2 77
2 22 76
7 17 76
22 2 76
23 2 75
3 23 74
8 18 74
24 2 74
25 2 73
4 24 72
9 19 72
26 2 72
27 2 71
0 30 70
5 25 70
28 2 70
29 2 69
1 31 68
6 26 68
12 21 67
21 12 67
30 3 67
2 32 66
7 27 66
31 3 66
32 3 65
3 33 64
8 28 64
33 3 64
34 3 63
4 34 62
9 29 62
35 3 62
36 3 61
0 40 60
5 35 60
37 3 60
38 3 59
1 41 58
6 36 58
39 3 58
2 42 56
7 37 56
13 31 56
22 22 56
31 13 56
40 4 56
41 4 55
3 43 54
8 38 54
42 4 54
43 4 53
4 44 52
9 39 52
44 4 52
45 4 51
0 50 50
5 45 50
46 4 50
47 4 49
1 51 48
6 46 48
48 4 48
49 4 47
2 52 46
7 47 46
14 41 45
23 32 45
32 23 45
41 14 45
50 5 45
3 53 44
8 48 44
51 5 44
52 5 43
4 54 42
9 49 42
53 5 42
54 5 41
0 60 40
5 55 40
55 5 40
56 5 39
1 61 38
6 56 38
57 5 38
58 5 37
2 62 36
7 57 36
59 5 36
3 63 34
8 58 34
15 51 34
24 42 34
33 33 34
42 24 34
51 15 34
60 6 34
61 6 33
4 64 32
9 59 32
62 6 32
63 6 31
0 70 30
5 65 30
64 6 30
65 6 29
1 71 28
6 66 28
66 6 28
67 6 27
2 72 26
7 67 26
68 6 26
69 6 25
3 73 24
8 68 24
16 61 23
25 52 23
34 43 23
43 34 23
52 25 23
61 16 23
70 7 23
4 74 22
9 69 22
71 7 22
72 7 21
0 80 20
5 75 20
73 7 20
74 7 19
1 81 18
6 76 18
75 7 18
76 7 17
2 82 16
7 77 16
77 7 16
78 7 15
3 83 14
8 78 14
79 7 14
4 84 12
9 79 12
17 71 12
26 62 12
35 53 12
44 44 12
53 35 12
62 26 12
71 17 12
80 8 12
81 8 11
0 90 10
5 85 10
82 8 10
83 8 9
1 91 8
6 86 8
84 8 8
85 8 7
2 92 6
7 87 6
86 8 6
87 8 5
3 93 4
8 88 4
88 8 4
89 8 3
4 94 2
9 89 2
18 81 1
27 72 1
36 63 1
45 54 1
54 45 1
63 36 1
72 27 1
81 18 1
90 9 1
5 95 0
91 9 0
